source_id,predicate,target_id,relation_notes_key,graph_id
N0281B28F,USED_FOR,N7211AB17,,default
N02B3F05E,ENABLES,N51395763,,default
N030,USES,N032,,default
N030,USES_TOOL,N031,,default
N033,HAS_PART,N034,,default
N033,IMPLEMENTED_IN,N035,,default
N033,USES_TOOL,N036,,default
N033,USES_TOOL,N041,,default
N036,BUILDS_ON,N42A842EF,,default
N036,IMPLEMENTS,N42A842EF,,default
N036,USES_TECH,N026,,default
N036,USES_TECH,N037,,default
N037,OBSERVED_BY,N038,,default
N03B2AA13,DEPENDS_ON,N531190C4,,default
N041,USES_MODEL,N042,,default
N041,USES_TOOL,N044,,default
N042,REQUIRES,N043,,default
N042,USES_MODEL,N050,,default
N0423CDD8,BUILDS_ON,N4438795B,,default
N0423CDD8,BUILDS_ON,NF5D7F057,,default
N044,ENABLES,N2912C48A,,default
N044,ENABLES,NC0555567,,default
N044,HAS_COMPONENT,N04438C9A,,default
N044,HAS_COMPONENT,N7BF4C248,,default
N044,USES_PROTOCOL,N045,,default
N04438C9A,ENABLES,N9B2406A4,,default
N045,USES_PROTOCOL,N046,,default
N046,ENABLES,N047,,default
N047,HAS_SUBDOMAIN,N048,,default
N048,HAS_SUBDOMAIN,N049,,default
N048,USES_MODEL,N085,,default
N04875BA9,ENABLED_BY,N2D5F96AF,,default
N04B93B2F,CONTAINS,N1E83052D,,default
N04B93B2F,CONTAINS,N57CFB807,,default
N04B93B2F,CONTAINS,N5DF993D4,,default
N04B93B2F,CONTAINS,N6EA9BAB2,,default
N04B93B2F,CONTAINS,NC92CA508,,default
N04B93B2F,CONTAINS,NCB1B1CDB,,default
N04B93B2F,CONTAINS,NE593C637,,default
N04B93B2F,HAS_COMPONENT,NC5CC32B8,,default
N04B93B2F,INCLUDES,NC5CC32B8,,default
N04BECE6A,CONTRASTS_WITH,NC75448EE,,default
N04C008E2,AFFECTS,NED0E9439,,default
N051,HAS_SUBDOMAIN,N052,,default
N051,HAS_SUBDOMAIN,N053,,default
N051,HAS_SUBDOMAIN,N054,,default
N051,HAS_SUBDOMAIN,N055,,default
N051,HAS_SUBDOMAIN,N056,,default
N051,INSTANCE_OF,N053,,default
N052,ENABLES,N042,,default
N052,USES_MODEL,N050,,default
N056,BUILDS_ON,NF2073FF4,,default
N056,BUILDS_ON,NFE828A98,,default
N056,CONTRASTS_WITH,NBEDF747C,,default
N0580A477,REFLECTS,N3A103053,,default
N059CF91C,INSTANCE_OF,NCB2C5821,,default
N061,HAS_COMPONENT,N062,,default
N061,HAS_COMPONENT,N064,,default
N061,HAS_COMPONENT,N8396A299,,default
N061,HAS_SUBDOMAIN,N071,,default
N061,HAS_SUBDOMAIN,N078,,default
N061,USES_TECH,N070,,default
N061,USES_TECH,ND3377A2B,,default
N066,CONCERNS,N067,,default
N0667B066,ENABLES,NC455FCD1,,default
N06931F9F,BUILDS_ON,NB9A7000D,,default
N069401D8,USED_FOR,N99B0E05B,,default
N071,ENABLES,N072,,default
N071,USES_TECH,N074,,default
N072,ENABLES,N0771D886,,default
N072,HAS_COMPONENT,N086AFDD9,,default
N072,HAS_COMPONENT,N70EFC4A2,,default
N072,USES_TOOL,N073,,default
N074,USES_TECH,N075,,default
N075,USES_TECH,N076,,default
N0771D886,INSTANCE_OF,NF6C3E577,,default
N077427B8,SUPPORTS,N63FD724E,,default
N078,USES_TOOL,N079,,default
N079,HANDLES_DOMAIN,N080,,default
N079,INSTANCE_OF,N5D50D49D,,default
N080,USES_TECH,N081,,default
N080,USES_TECH,N082,,default
N080,USES_TECH,N083,,default
N084F77A1,DEPENDS_ON,NA549376E,,default
N085,HAS_TYPE,N087,,default
N085,USES_MODEL,N086,,default
N085B250F,CONTRASTS_WITH,NE86250FD,,default
N087,EXAMPLE,N088,,default
N087,USES_TECH,N075,,default
N08AD1C13,ENHANCES,N9DA2AF23,,default
N092FAD67,CONTRASTS_WITH,N6D723103,,default
N09D3C24B,PREPARES_FOR,N7A44461C,,default
N09FB19F5,DEPENDS_ON,ND973FB79,,default
N09FB19F5,INSTANCE_OF,ND973FB79,,default
N0A256D58,ENABLES,NE43948FB,,default
N0A5511D6,CONTRASTS_WITH,N2914E566,,default
N0A5511D6,RELATED_TO,N2914E566,,default
N0A830D0A,IS_A_TYPE_OF,NDD101CFA,,default
N0B14FE90,EXEMPLIFIES,NC05193F8,,default
N0B7C179F,INSTANCE_OF,N5D50D49D,,default
N0BC2FE04,USED_FOR,N20AE951B,,default
N0CAB8FBE,ENABLES,N8F4E726B,,default
N0CAB8FBE,USES,N3E8F7096,,default
N0D061965,CONTRASTS_WITH,N06070620,,default
N0D061965,DESIGNS_FOR,N303AB17E,,default
N0D320C9B,CONTAINS,N385C00FC,,default
N0D320C9B,CONTAINS,N39A28193,,default
N0D320C9B,CONTAINS,N4F0E3999,,default
N0D320C9B,CONTAINS,N70E2A395,,default
N0D320C9B,CONTAINS,N72907BFF,,default
N0D320C9B,CONTAINS,NCA4255BE,,default
N0E239B5B,CONTAINS,N41F2C085,,default
N0E239B5B,CONTAINS,NE45BB6D6,,default
N0EC255F0,INSTANCE_OF,NA739F164,,default
N0EC255F0,INSTANCE_OF,NAD3C47F9,,default
N0F19A122,MENTIONS,N344B3AD5,,default
N0F63395C,USED_FOR,NE17DB88C,,default
N0F66ED08,BUILDS_ON,N055,,default
N0F66ED08,HAS_COMPONENT,N055,,default
N0F66ED08,RELATES_TO,N055,,default
N1157357D,REQUIRES,NB88E8245,,default
N121BAF7A,USES,ND8602A95,,default
N129A108C,SUPPORTS,N021,,default
N13838824,ADDRESSES,NE64D4A7C,,default
N13838824,CONTAINS,NE64D4A7C,,default
N13B4E42F,ENHANCES,N4B2AB10C,,default
N13C2C887,IS_A,N15704CDD,,default
N13C2C887,IS_A,N499438F1,,default
N13C5C04D,HAS_COMPONENT,N76D97464,,default
N13E9786E,BUILDS_ON,N431A11A1,,default
N141C2451,PRODUCES,N59BB80E6,,default
N15086E6B,RELATES_TO,N70037C93,,default
N151723B7,ENABLES,NCB2C5821,,default
N151723B7,USED_FOR,NCB2C5821,,default
N168AC214,USED_FOR,N315C28EA,,default
N16FA20C8,ENABLES,N431A11A1,,default
N176F4528,GUIDES,N545594AC,,default
N188B98ED,HAS_COMPONENT,NC24D971D,,default
N188B98ED,HAS_FUNCTION,N4EBAE96A,,default
N188B98ED,HAS_FUNCTION,N60ECD0C3,,default
N188B98ED,HAS_FUNCTION,NF3E5BDA0,,default
N188B98ED,USES,NC693BA47,,default
N19125CEA,CONTRASTS_WITH,N08AE098A,,default
N197FD2C2,CONTRASTS_WITH,N8972390B,,default
N19AC7277,USED_FOR,NE17DB88C,,default
N1B0BE4C9,CAN_BE_FIXED_BY,NB063CB1D,,default
N1B0BE4C9,ENCOURAGES,N3E44961A,,default
N1B60EB8C,INSTANCE_OF,N13C5C04D,,default
N1B78E1B5,ENABLES,N5A11C57B,,default
N1B78E1B5,IS_A,N5A11C57B,,default
N1C0FF7A9,DRIVES,N3E44961A,,default
N1C375295,CONTRASTS_WITH,N051,,default
N1CF4EF7B,DESIGNED_FOR,NE6C6DC0C,,default
N1CF4EF7B,ENABLES,N3AC16B00,,default
N1CF4EF7B,ENABLES,NA14C1C4A,,default
N1CF4EF7B,ENABLES,NBA93473F,,default
N1CF4EF7B,HAS_COMPONENT,N524933F8,,default
N1CF4EF7B,HAS_COMPONENT,N56F4D98F,,default
N1CF4EF7B,INCLUDES,N8DFD2AD3,,default
N1CF4EF7B,INCLUDES,N9B905098,,default
N1CF4EF7B,PROVIDES,N299CF02C,,default
N1CF4EF7B,SUPPORTS,N904F68B3,,default
N1E14FA46,ENHANCES,N4FC70518,,default
N1E4474CC,CONTAINS,N76D97464,,default
N1EC30915,HAS_COMPONENT,N57A2B111,,default
N1EC30915,RELATES_TO,N001,,default
N1EC30915,RELATES_TO,N1E4CADC5,,default
N1ECA7EF9,INFORMS,N310E2CE2,,default
N20E36464,INSTANCE_OF,N421255B0,,default
N218394EF,IDENTIFIES,NBCA01620,,default
N218394EF,USED_FOR,N1D13CF52,,default
N218394EF,USED_FOR,N2112DEA6,,default
N218394EF,USED_FOR,N2DD807AC,,default
N218394EF,USED_FOR,N2ED7B358,,default
N218394EF,USED_FOR,N5CD47714,,default
N218394EF,USED_FOR,N6CBA6B2D,,default
N218394EF,USED_FOR,N6EB9F285,,default
N218394EF,USED_FOR,NA7E7ADE7,,default
N218394EF,USED_FOR,NB23E21B4,,default
N218394EF,USED_FOR,NBCA01620,,default
N218394EF,USED_FOR,NDA227F0E,,default
N218394EF,USED_FOR,NDDBC881F,,default
N218394EF,USED_FOR,NDE79D964,,default
N218394EF,USED_FOR,NE17DB88C,,default
N218394EF,USED_FOR,NE8B345FA,,default
N218394EF,USES,N2112DEA6,,default
N218394EF,USES,N2ED7B358,,default
N218394EF,USES,N5CD47714,,default
N218394EF,USES,NDA227F0E,,default
N218394EF,USES,NDE79D964,,default
N21A2682C,ENCOMPASSES,N326BB366,,default
N21D5F11F,CONTAINS,N6BDC5159,,default
N222BE3E1,DEPENDS_ON,N8B30D79F,,default
N222BE3E1,ENABLES,N2D616395,,default
N222BE3E1,USES,N8B30D79F,,default
N2286E380,ENABLED_BY,NFB0F4581,,default
N22C18EDC,INCREASED_BY,ND991A581,,default
N2311D80D,INSTANCE_OF,NDA8D4EB5,,default
N23668EF1,BUILDS_ON,N2AB270C8,,default
N23668EF1,CONTRASTS_WITH,NF6F3DA77,,default
N2371AF1E,IMPLEMENTS,N9BA7F69C,,default
N2462A8AB,LEADS_TO,N3E44961A,,default
N249075D6,DEMONSTRATES,N80597D51,,default
N24AB238F,GENERATES,NC2483587,,default
N25A39B8F,ENABLES,N8B408FBC,,default
N263E3F63,ENABLES,N40DFCF5C,,default
N263E3F63,HAS_COMPONENT,NF3D2A457,,default
N26E63DC3,ENABLES,N1B78E1B5,,default
N26E63DC3,IS_DEFINED_AS,N1E134DC1,,default
N26E63DC3,USES,N1E134DC1,,default
N277D5098,RESULTS_IN,ND991A581,,default
N28479DA9,INFORMS,N310E2CE2,,default
N28479DA9,USED_FOR,N310E2CE2,,default
N2912C48A,CONTAINS,N021,,default
N2914E566,CHALLENGES,NF3522A86,,default
N29E83350,DEPENDS_ON,N7E99DBAA,,default
N29E83350,HOSTS,N7E99DBAA,,default
N2B178B96,TRIGGERS,NC7C1A6EB,,default
N2B6BDC18,DEPENDS_ON,N0B3E2087,,default
N2C0B1262,AFFECTS,NE8D77D25,,default
N2D592863,DEFINES,NC33D1497,,default
N2D5F96AF,DEPENDS_ON,NFB359D6B,,default
N2D616395,COMBINES_WITH,N222BE3E1,,default
N2D616395,DEPENDS_ON,N870EE931,,default
N2D616395,IS_COMBINED_WITH,N222BE3E1,,default
N2E147E6E,SPEEDS_UP,N8F3F20DE,,default
N2ED7B358,CONTRASTS_WITH,N6CBA6B2D,,default
N2EE8ECA9,CONTAINS,N702FEA84,,default
N2EE8ECA9,CONTAINS,NF13C7861,,default
N2F62E17A,ENABLES,N43DC793B,,default
N2FC55D8E,EXEMPLIFIES,N3A8AE127,,default
N303AB17E,INSTANCE_OF,N077427B8,,default
N303AB17E,INSTANCE_OF,N0D061965,,default
N306DA974,CONTRASTS_WITH,N6D721C34,,default
N310E2CE2,REQUIRES,N09C19C3B,,default
N315C28EA,ENABLED_BY,N7A44461C,,default
N315C28EA,ENABLES,NFE828A98,,default
N315C28EA,INCLUDES,N07A2558D,,default
N315C28EA,INCLUDES,N7A117408,,default
N315C28EA,INCLUDES,N89D1BF79,,default
N315C28EA,INCLUDES,NE0C20963,,default
N3252860D,CONTRASTS_WITH,N421255B0,,default
N326BB366,INCLUDES,N81AB1ED1,,default
N326BB366,IS_A,N96D7B6F8,,default
N33FBCFA0,BUILDS_ON,N2ED7B358,,default
N33FBCFA0,BUILDS_ON,N6CBA6B2D,,default
N344B3AD5,ENABLES,NED2D9C7D,,default
N3567C0E5,APPLIES,N3A8AE127,,default
N3567C0E5,BUILDS_ON,N3A8AE127,,default
N35FE031C,SUPPORTS,N2371AF1E,,default
N36EB9DF1,DEPENDS_ON,N1C375295,,default
N36FD4023,BUILDS_ON,N1B988A94,,default
N36FD4023,CAN_BE_CREATED_IN,N1B988A94,,default
N36FD4023,ENABLED_BY,N1157357D,,default
N36FD4023,REQUIRES,N1157357D,,default
N36FD4023,REQUIRES,N13C2C887,,default
N36FD4023,REQUIRES,NBC324770,,default
N36FD4023,USES,N8F6B3002,,default
N37214463,BUILDS_ON,NBA4AEB5E,,default
N386C76B0,CONTRASTS_WITH,ND675716D,,default
N39BAB4D8,USED_FOR,ND9103C7D,,default
N39E5AD8C,USED_FOR,ND82BC9E1,,default
N3A103053,INFLUENCES,N558629E3,,default
N3A37589E,CONTRASTS_WITH,N842CC3A2,,default
N3A59AED5,GENERATES,NFAFB000A,,default
N3A59AED5,INTERACTS_WITH,N992523B4,,default
N3A8AE127,CONTRASTS_WITH,N64E3FEA7,,default
N3A8AE127,DEFINES,NF126316E,,default
N3B0B2530,SUPPORTS,N86F35F2F,,default
N3BBF82C5,FEATURES,N67107CD2,,default
N3BF0660E,INSTANCE_OF,N88946CC2,,default
N3CBC0687,ENABLED_BY,NC931A0A4,,default
N3CBC0687,ENABLES,N6BDC5159,,default
N3CBC0687,ENABLES,NF559DD9C,,default
N3CBC0687,HAS_COMPONENT,N052ED1A8,,default
N3D3B4A2E,INCLUDES,N4F8B203F,,default
N3D3B4A2E,INCLUDES,N59612B1B,,default
N3D3B4A2E,INCLUDES,N65B7BD61,,default
N3D3B4A2E,INCLUDES,N9602C417,,default
N3D3B4A2E,INCLUDES,NBF535888,,default
N3DB1006A,INFORMS,N310E2CE2,,default
N3E44961A,CONTRASTS_WITH,N631E6509,,default
N3EE79F5E,SUPPORTS,N4137B64F,,default
N3F770756,CONTRASTS_WITH,N606B72F7,,default
N3FF4C102,HAS_COMPONENT,N4E23E76C,,default
N40DFCF5C,CONTRASTS_WITH,N531190C4,,default
N410857EB,CONTAINS,N2AD5FC6E,,default
N410857EB,CONTAINS,N50AE2A63,,default
N410857EB,CONTAINS,N6EC702DC,,default
N410857EB,CONTAINS,NB729739D,,default
N410857EB,REQUIRES,N717CB032,,default
N4137B64F,BUILDS_ON,N4FC70518,,default
N4137B64F,DEPENDS_ON,N8DFD2AD3,,default
N4137B64F,USED_FOR,N545594AC,,default
N419551A0,CONTRASTS_WITH,N53AE88B1,,default
N41A6F95F,ENABLES,NBD9C7273,,default
N425E79F2,USED_FOR,N69DFAF3F,,default
N425E79F2,USED_FOR,N7D610432,,default
N425E79F2,USED_FOR,NAD693770,,default
N42AD9843,AFFECTS,N54EDC122,,default
N42AD9843,HAS_COMPONENT,N8A41972F,,default
N42AD9843,USES,N3E58AC5B,,default
N42AD9843,USES,N8A41972F,,default
N4315D5D0,CONTRASTS_WITH,NF6F3DA77,,default
N4315D5D0,ENCOURAGES,N004F7CB5,,default
N431A11A1,DEPENDS_ON,N4B6228C5,,default
N431A11A1,USES,N4EAA233E,,default
N4410D19F,ENABLES,NF6F3DA77,,default
N4438795B,SUPPORTS,N0423CDD8,,default
N44578D8E,BUILDS_ON,NC271B512,,default
N4492E96C,CONTRASTS_WITH,ND55F7BD5,,default
N44CA8FE8,HAS_COMPONENT,N92E25ABD,,default
N44D06FA6,HAS_COMPONENT,NF5FD00FD,,default
N44D06FA6,INFLUENCES,NB9B56408,,default
N44EBBF54,DEPENDS_ON,N60BDFD52,,default
N466DDC06,INFLUENCES,N2598FCA9,,default
N46A79A35,ENABLES,NDA8D4EB5,,default
N46AD623C,CONTRASTS_WITH,N46A79A35,,default
N47083F39,INSTANCE_OF,N7C15B1D0,,default
N47083F39,INSTANCE_OF,NA4EDFADC,,default
N479B1877,CONTAINS,N1877781E,,default
N47A2106C,CONTRASTS_WITH,NC7D435F3,,default
N47AE2F94,BUILDS_ON,N7C54E836,,default
N484B8219,MANAGES,NCB2C5821,,default
N48CFEF35,BUILDS_ON,N42A842EF,,default
N48CFEF35,HAS_COMPONENT,N084F77A1,,default
N48CFEF35,HAS_COMPONENT,NA549376E,,default
N48CFEF35,RELATES_TO,N42A842EF,,default
N49B2256E,UNDERMINES,NF3522A86,,default
N49D68BAF,ENABLED_BY,N95A8A92F,,default
N4A2061FE,CONTRASTS_WITH,N59BB80E6,,default
N4A99901B,ENCOURAGES,ND76607D5,,default
N4B0368B1,DEPENDS_ON,NAFEC108E,,default
N4B2AB10C,IMPROVES,N9DA2AF23,,default
N4B7CA615,CONTRASTS_WITH,NC24D971D,,default
N4B89B2FF,INFORMS,N310E2CE2,,default
N4C1D0B47,INSTANCE_OF,N8DC0FE4D,,default
N4C596BEC,CONTAINS,N2DDE991F,,default
N4C596BEC,CONTAINS,N5069A492,,default
N4C596BEC,CONTAINS,N8F3C1C21,,default
N4C596BEC,CONTAINS,NDF1A8C1D,,default
N4C7F0B9A,ENABLES,N2912C48A,,default
N4D5C3E7C,BUILDS_ON,N9018129A,,default
N4E1104B3,BUILDS_ON,N2ED7B358,,default
N4E23E76C,DEPENDS_ON,ND8BAE224,,default
N4E77FBF0,REMOVES,ND991A581,,default
N4ECF8A7A,BUILDS_ON,NAFEC108E,,default
N4EFC4085,INFORMS,N358B910F,,default
N4EFC4085,SUPPORTS,N7992C219,,default
N4F286BA3,ENABLES,NAFEC108E,,default
N4FC0DC40,FACILITATES,ND76607D5,,default
N4FC70518,ENABLES,N59A9A82B,,default
N50136D65,SUPPORTS,N49AC31B9,,default
N50E40E05,ENCOURAGES,NC7C1A6EB,,default
N5389FFE5,INFLUENCES,N675F5B43,,default
N53AE88B1,DEPENDS_ON,NC43CC7BE,,default
N53AFE7F0,INSTANCE_OF,N5D50D49D,,default
N5416357D,CONTAINS,N0FBF4B9A,,default
N541AFF8A,INCLUDES,N737AB625,,default
N541C8738,IS_A_CONCEPT_OF,N26E63DC3,,default
N541C8738,IS_A_FEATURE_OF,N26E63DC3,,default
N549D34CF,USES,ND8602A95,,default
N56374EC2,CONTRIBUTES_TO,NBBC80E10,,default
N56374EC2,USES,N93852EFE,,default
N5637AB6A,CONTRASTS_WITH,N36EB9DF1,,default
N5637AB6A,ENABLES,N2BB51F33,,default
N5637AB6A,ENABLES,NC271B512,,default
N570CAAB7,HAS_COMPONENT,N267FDBC3,,default
N5718F089,RELATES_TO,N042,,default
N5718F089,RELATES_TO,N24AC01CC,,default
N57A2B111,RELATES_TO,N1EC30915,,default
N57CB832E,REVOLUTIONIZES,N315C28EA,,default
N59134253,BUILDS_ON,N036,,default
N595D8E1D,IS_PART_OF,N3A8AE127,,default
N5A11C57B,BUILDS_ON,N1B78E1B5,,default
N5A11C57B,DEPENDS_ON,NCB689295,,default
N5AEA78EF,DEVELOPS,N3A8AE127,,default
N5D4314C3,GUIDES,NE8D77D25,,default
N5D4314C3,INFLUENCES,N2C0B1262,,default
N5D50D49D,HAS_COMPONENT,NA1CFFC1C,,default
N5D50D49D,HAS_COMPONENT,NDC67F6F2,,default
N5D990B49,INSTANCE_OF,N0A89733C,,default
N5EE54EE7,CONTRASTS_WITH,N13F354E3,,default
N5FB5E7BC,ENHANCES,N93852EFE,,default
N5FB5E7BC,IS_A_COMPONENT_OF,N3A8AE127,,default
N606B72F7,HELPS_MANAGE,N65964C22,,default
N606B72F7,REDUCES,N3F770756,,default
N60A49D64,USED_FOR,N315C28EA,,default
N60BDFD52,ENABLES,NC1EFAC6B,,default
N60D6A5E8,HAS_COMPONENT,ND5FA0425,,default
N60D6A5E8,HAS_COMPONENT,NDF87A776,,default
N60D6A5E8,HAS_COMPONENT,NE3B9E699,,default
N60D6A5E8,INCLUDES,N65C9B3DB,,default
N611CA643,ENABLES,N410857EB,,default
N631E6509,SUPPORTS,NB063CB1D,,default
N63FD724E,DESIGNS_FOR,N303AB17E,,default
N64795A3E,BUILDS_ON,N950B9FF8,,default
N64795A3E,BUILDS_ON,ND8ACC515,,default
N64795A3E,CONTRASTS_WITH,NADAE0438,,default
N64795A3E,ENABLED_BY,N052ED1A8,,default
N64795A3E,ENABLES,N052ED1A8,,default
N64795A3E,ENABLES,N8BD6B561,,default
N64795A3E,HAS_COMPONENT,NC33D1497,,default
N64795A3E,HAS_COMPONENT,ND8ACC515,,default
N64795A3E,INTEGRATES_WITH,N053,,default
N64795A3E,INTEGRATES_WITH,N89F93F46,,default
N64795A3E,USES,N21D5F11F,,default
N65426980,DEPENDS_ON,NC08316E1,,default
N658E7DC0,ENABLES,N79168975,,default
N65964C22,ENABLES,N65F0C5F4,,default
N65964C22,ENABLES,NBFFBCB44,,default
N65F0C5F4,ENHANCES,N9DA2AF23,,default
N67107CD2,USES,N8E427A4A,,default
N672BB1CB,DISCUSSES,NF10C195D,,default
N67556EDA,INCLUDES,N28479DA9,,default
N67556EDA,INCLUDES,N7CFC8B21,,default
N67556EDA,INCLUDES,N85FCC40C,,default
N67556EDA,REQUIRES,N28479DA9,,default
N67556EDA,REQUIRES,N7CFC8B21,,default
N67556EDA,REQUIRES,N85FCC40C,,default
N675F5B43,REQUIRES,N65F0C5F4,,default
N69032971,ENABLED_BY,N91784B77,,default
N69032971,HAS_COMPONENT,NEA641823,,default
N69032971,USES,NA27C2C60,,default
N6BB5E0D7,USED_FOR,N7307FEE2,,default
N6BB5E0D7,USED_FOR,N93E6185D,,default
N6BEE50B1,ENABLES,N23668EF1,,default
N6D1B1CF7,USED_FOR,NE13B0E04,,default
N6D723103,ENCOURAGES,NAB11A614,,default
N6D723103,OPPOSES,N7BF2A925,,default
N6D723103,OPPOSES,NAB11A614,,default
N6D723103,REQUIRES,NAB11A614,,default
N6D8976DC,DEPENDS_ON,N65C9B3DB,,default
N6D8976DC,USED_FOR,N39BAB4D8,,default
N6DDCAF16,ENABLED_BY,N4410D19F,,default
N6F46D2E4,CONTAINS,N8B408FBC,,default
N6FA8B8B3,ENABLES,N4137B64F,,default
N6FA8B8B3,HAS_COMPONENT,N676F1474,,default
N70924234,ENABLES,N077427B8,,default
N70E2A395,ENABLES,N7591933F,,default
N70EFC4A2,EXAMPLE_OF,NA4CCFE0F,,default
N71B50349,USED_FOR,N036,,default
N71E9C600,ENABLES,N021,,default
N71E9C600,INSTANCE_OF,N35843AF2,,default
N7223C2D6,CONTRIBUTES_TO,NF1EDC912,,default
N72FD6572,ENABLES,N97D861B3,,default
N72FD6572,REGULATES,N59BB80E6,,default
N734E18D0,BUILDS_ON,N9233DF89,,default
N737AB625,BUILDS_ON,N9427B7C0,,default
N7380AC93,ENABLES,N6D8976DC,,default
N764DC6BD,IS_COMPOSED_OF,NC2483587,,default
N769D618C,HAS_COMPONENT,N2B6BDC18,,default
N76D97464,BUILDS_ON,N051,,default
N77798872,BUILDS_ON,NAC55E125,,default
N78B5C76F,ENABLES,N3A37589E,,default
N78D4FE49,ENABLES,NBDA0BA39,,default
N78E5CE79,EXAMPLE_OF,N005,,default
N79168975,CONTRASTS_WITH,N392B5A56,,default
N79168975,CONTRASTS_WITH,NB6D138CD,,default
N79168975,DERIVES_FROM,NA39783E7,,default
N7A117408,RELATES_TO,N055,,default
N7A117408,USES,N055,,default
N7A44461C,REQUIRES,N7A117408,,default
N7B201D0A,EXEMPLIFIES,N851D75EC,,default
N7B201D0A,HAS_COMPONENT,N67029C7E,,default
N7B201D0A,REQUIRES,N98365844,,default
N7CFC8B21,INFORMS,N310E2CE2,,default
N7CFC8B21,USED_FOR,N310E2CE2,,default
N7DB9E0C2,DEPENDS_ON,N7E99DBAA,,default
N7E99DBAA,DEPENDS_ON,N8D3BCE4B,,default
N7E99DBAA,DEPENDS_ON,NC5F2027C,,default
N7E99DBAA,ENABLES,N13838824,,default
N7E99DBAA,ENABLES,N29E83350,,default
N7E99DBAA,ENABLES,N9B2406A4,,default
N7E99DBAA,HAS_COMPONENT,N13838824,,default
N7E99DBAA,HAS_COMPONENT,N14ABBC0B,,default
N7E99DBAA,HAS_COMPONENT,N2F3F6549,,default
N7E99DBAA,HAS_COMPONENT,N4438795B,,default
N7E99DBAA,HAS_COMPONENT,NA75AF352,,default
N7E99DBAA,HAS_COMPONENT,NF5D7F057,,default
N7E99DBAA,INTEGRATES_WITH,N9B2406A4,,default
N7FECC031,SUPPORTS,NFEF185F5,,default
N80B89C77,CONTRASTS_WITH,NC90E00C4,,default
N81345802,INFORMS,N310E2CE2,,default
N81345802,WORKS_WITH,N3DB1006A,,default
N8178740A,CONTRASTS_WITH,N7A888FD9,,default
N8205DC8C,USED_FOR,N8178740A,,default
N82581032,CONTRASTS_WITH,NE000FE25,,default
N82D73873,ARISES_FROM,N6DDCAF16,,default
N8342A342,LEADS_TO,NA92888C4,,default
N842CC3A2,BUILDS_ON,N4E23E76C,,default
N85C36E08,CONTRASTS_WITH,N0CAC97F7,,default
N85FCC40C,INFORMS,N310E2CE2,,default
N85FCC40C,USED_FOR,N310E2CE2,,default
N863428C3,CONTRASTS_WITH,N717CB032,,default
N87607370,HAS_COMPONENT,N2864D005,,default
N87EC1F9E,BUILDS_ON,N2F20D9D2,,default
N87EC1F9E,INSTANCE_OF,N44A101B7,,default
N8A41972F,IMPACTS,N42AD9843,,default
N8B408FBC,IMPACT_ON,N49AC31B9,,default
N8B970ED5,CONTRASTS_WITH,N98A46063,,default
N8BD95415,DEPENDS_ON,NE64ED4BA,,default
N8D3BCE4B,HAS_COMPONENT,N47083F39,,default
N8D3BCE4B,HAS_COMPONENT,NAAC27522,,default
N8D3BCE4B,HAS_COMPONENT,NE5AEBA34,,default
N8D973B49,INFORMS,N1E14FA46,,default
N8DC0FE4D,ENABLES,NC1EFAC6B,,default
N8ED54065,INCLUDES,N14E82E00,,default
N8ED54065,USES,N0FECC01B,,default
N9018129A,CONTAINS,N1DADB2A7,,default
