source_id,predicate,target_id,relation_notes_key
N04B93B2F,CONTAINS,N6EA9BAB2,
N04B93B2F,CONTAINS,NC92CA508,
N04B93B2F,CONTAINS,NCB1B1CDB,
N04B93B2F,CONTAINS,NE593C637,
N04B93B2F,HAS_COMPONENT,NC5CC32B8,
N04B93B2F,INCLUDES,NC5CC32B8,
N04BECE6A,CONTRASTS_WITH,NC75448EE,
N04C008E2,AFFECTS,NED0E9439,
N051,HAS_SUBDOMAIN,N052,
N051,HAS_SUBDOMAIN,N053,
N051,HAS_SUBDOMAIN,N054,
N051,HAS_SUBDOMAIN,N055,
N051,HAS_SUBDOMAIN,N056,
N051,INSTANCE_OF,N053,
N051,USES_LANGUAGE,N057,
N052,ENABLES,N042,
N052,USES_MODEL,N050,
N056,BUILDS_ON,NF2073FF4,
N056,BUILDS_ON,NFE828A98,
N056,CONTRASTS_WITH,NBEDF747C,
N057,ENABLED_BY,N051,
N057,ENABLES,N060,
N057,IMPLEMENTS,N1E171A49,
N057,IMPLEMENTS,NA37F3C81,
N057,IMPLEMENTS,NF1E243E3,
N057,USES_LIB,N058,
N057,USES_LIB,N059,
N0580A477,REFLECTS,N3A103053,
N059CF91C,INSTANCE_OF,NCB2C5821,
N061,HAS_COMPONENT,N062,
N061,HAS_COMPONENT,N064,
N061,HAS_COMPONENT,N8396A299,
N061,HAS_SUBDOMAIN,N071,
N061,HAS_SUBDOMAIN,N078,
N061,USES_TECH,N070,
N061,USES_TECH,ND3377A2B,
N066,CONCERNS,N067,
N0667B066,ENABLES,NC455FCD1,
N06931F9F,BUILDS_ON,NB9A7000D,
N069401D8,USED_FOR,N99B0E05B,
N071,ENABLES,N072,
N071,USES_TECH,N074,
N072,ENABLES,N0771D886,
N072,HAS_COMPONENT,N086AFDD9,
N072,HAS_COMPONENT,N70EFC4A2,
N072,USES_TOOL,N073,
N074,USES_TECH,N075,
N075,USES_TECH,N076,
N0771D886,INSTANCE_OF,NF6C3E577,
N077427B8,SUPPORTS,N63FD724E,
N078,USES_TOOL,N079,
N079,HANDLES_DOMAIN,N080,
N079,INSTANCE_OF,N5D50D49D,
N080,USES_TECH,N081,
N080,USES_TECH,N082,
N080,USES_TECH,N083,
N084F77A1,DEPENDS_ON,NA549376E,
N085,HAS_TYPE,N087,
N085,USES_MODEL,N086,
N085B250F,CONTRASTS_WITH,NE86250FD,
N087,EXAMPLE,N088,
N087,USES_TECH,N075,
N08AD1C13,ENHANCES,N9DA2AF23,
N092FAD67,CONTRASTS_WITH,N6D723103,
N09D3C24B,PREPARES_FOR,N7A44461C,
N09FB19F5,DEPENDS_ON,ND973FB79,
N09FB19F5,INSTANCE_OF,ND973FB79,
N0A256D58,ENABLES,NE43948FB,
N0A5511D6,CONTRASTS_WITH,N2914E566,
N0A5511D6,RELATED_TO,N2914E566,
N0A830D0A,IS_A_TYPE_OF,NDD101CFA,
N0B14FE90,EXEMPLIFIES,NC05193F8,
N0B7C179F,INSTANCE_OF,N5D50D49D,
N0BC2FE04,USED_FOR,N20AE951B,
N0CAB8FBE,ENABLES,N8F4E726B,
N0CAB8FBE,USES,N3E8F7096,
N0D061965,CONTRASTS_WITH,N06070620,
N0D061965,DESIGNS_FOR,N303AB17E,
N0D320C9B,CONTAINS,N385C00FC,
N0D320C9B,CONTAINS,N39A28193,
N0D320C9B,CONTAINS,N4F0E3999,
N0D320C9B,CONTAINS,N70E2A395,
N0D320C9B,CONTAINS,N72907BFF,
N0D320C9B,CONTAINS,NCA4255BE,
N0E239B5B,CONTAINS,N41F2C085,
N0E239B5B,CONTAINS,NE45BB6D6,
N0EC255F0,INSTANCE_OF,NA739F164,
N0EC255F0,INSTANCE_OF,NAD3C47F9,
N0F19A122,MENTIONS,N344B3AD5,
N0F63395C,USED_FOR,NE17DB88C,
N0F66ED08,BUILDS_ON,N055,
N0F66ED08,HAS_COMPONENT,N055,
N0F66ED08,RELATES_TO,N055,
N1157357D,REQUIRES,NB88E8245,
N121BAF7A,USES,ND8602A95,
N129A108C,SUPPORTS,N021,
N13838824,ADDRESSES,NE64D4A7C,
N13838824,CONTAINS,NE64D4A7C,
N13B4E42F,ENHANCES,N4B2AB10C,
N13C2C887,IS_A,N15704CDD,
N13C2C887,IS_A,N499438F1,
N13C5C04D,HAS_COMPONENT,N76D97464,
N13E9786E,BUILDS_ON,N431A11A1,
N141C2451,PRODUCES,N59BB80E6,
N15086E6B,RELATES_TO,N70037C93,
N151723B7,ENABLES,NCB2C5821,
N151723B7,USED_FOR,NCB2C5821,
N168AC214,USED_FOR,N315C28EA,
N16FA20C8,ENABLES,N431A11A1,
N176F4528,GUIDES,N545594AC,
N188B98ED,HAS_COMPONENT,NC24D971D,
N188B98ED,HAS_FUNCTION,N4EBAE96A,
N188B98ED,HAS_FUNCTION,N60ECD0C3,
N188B98ED,HAS_FUNCTION,NF3E5BDA0,
N188B98ED,USES,NC693BA47,
N19125CEA,CONTRASTS_WITH,N08AE098A,
N197FD2C2,CONTRASTS_WITH,N8972390B,
N19AC7277,USED_FOR,NE17DB88C,
N1B0BE4C9,CAN_BE_FIXED_BY,NB063CB1D,
N1B0BE4C9,ENCOURAGES,N3E44961A,
N1B60EB8C,INSTANCE_OF,N13C5C04D,
N1B78E1B5,ENABLES,N5A11C57B,
N1B78E1B5,IS_A,N5A11C57B,
N1C0FF7A9,DRIVES,N3E44961A,
N1C375295,CONTRASTS_WITH,N051,
N1CF4EF7B,DESIGNED_FOR,NE6C6DC0C,
N1CF4EF7B,ENABLES,N3AC16B00,
N1CF4EF7B,ENABLES,NA14C1C4A,
N1CF4EF7B,ENABLES,NBA93473F,
N1CF4EF7B,HAS_COMPONENT,N524933F8,
N1CF4EF7B,HAS_COMPONENT,N56F4D98F,
N1CF4EF7B,INCLUDES,N8DFD2AD3,
N1CF4EF7B,INCLUDES,N9B905098,
N1CF4EF7B,PROVIDES,N299CF02C,
N1CF4EF7B,SUPPORTS,N904F68B3,
N1E14FA46,ENHANCES,N4FC70518,
N1E4474CC,CONTAINS,N76D97464,
N1EC30915,HAS_COMPONENT,N57A2B111,
N1EC30915,RELATES_TO,N001,
N1EC30915,RELATES_TO,N1E4CADC5,
N1ECA7EF9,INFORMS,N310E2CE2,
N20E36464,INSTANCE_OF,N421255B0,
N218394EF,IDENTIFIES,NBCA01620,
N218394EF,USED_FOR,N1D13CF52,
N218394EF,USED_FOR,N2112DEA6,
N218394EF,USED_FOR,N2DD807AC,
N218394EF,USED_FOR,N2ED7B358,
N218394EF,USED_FOR,N5CD47714,
N218394EF,USED_FOR,N6CBA6B2D,
N218394EF,USED_FOR,N6EB9F285,
N218394EF,USED_FOR,NA7E7ADE7,
N218394EF,USED_FOR,NB23E21B4,
N218394EF,USED_FOR,NBCA01620,
N218394EF,USED_FOR,NDA227F0E,
N218394EF,USED_FOR,NDDBC881F,
N218394EF,USED_FOR,NDE79D964,
N218394EF,USED_FOR,NE17DB88C,
N218394EF,USED_FOR,NE8B345FA,
N218394EF,USES,N2112DEA6,
N218394EF,USES,N2ED7B358,
N218394EF,USES,N5CD47714,
N218394EF,USES,NDA227F0E,
N218394EF,USES,NDE79D964,
N21A2682C,ENCOMPASSES,N326BB366,
N21D5F11F,CONTAINS,N6BDC5159,
N222BE3E1,DEPENDS_ON,N8B30D79F,
N222BE3E1,ENABLES,N2D616395,
N222BE3E1,USES,N8B30D79F,
N2286E380,ENABLED_BY,NFB0F4581,
N22C18EDC,INCREASED_BY,ND991A581,
N2311D80D,INSTANCE_OF,NDA8D4EB5,
N23668EF1,BUILDS_ON,N2AB270C8,
N23668EF1,CONTRASTS_WITH,NF6F3DA77,
N2371AF1E,IMPLEMENTS,N9BA7F69C,
N2462A8AB,LEADS_TO,N3E44961A,
N249075D6,DEMONSTRATES,N80597D51,
N24AB238F,GENERATES,NC2483587,
N25A39B8F,ENABLES,N8B408FBC,
N263E3F63,ENABLES,N40DFCF5C,
N263E3F63,HAS_COMPONENT,NF3D2A457,
N26E63DC3,ENABLES,N1B78E1B5,
N26E63DC3,IS_DEFINED_AS,N1E134DC1,
N26E63DC3,USES,N1E134DC1,
N277D5098,RESULTS_IN,ND991A581,
N28479DA9,INFORMS,N310E2CE2,
N28479DA9,USED_FOR,N310E2CE2,
N2912C48A,CONTAINS,N021,
N2914E566,CHALLENGES,NF3522A86,
N29E83350,DEPENDS_ON,N7E99DBAA,
N29E83350,HOSTS,N7E99DBAA,
N2B178B96,TRIGGERS,NC7C1A6EB,
N2B6BDC18,DEPENDS_ON,N0B3E2087,
N2C0B1262,AFFECTS,NE8D77D25,
N2D592863,DEFINES,NC33D1497,
N2D5F96AF,DEPENDS_ON,NFB359D6B,
N2D616395,COMBINES_WITH,N222BE3E1,
N2D616395,DEPENDS_ON,N870EE931,
N2D616395,IS_COMBINED_WITH,N222BE3E1,
N2E147E6E,SPEEDS_UP,N8F3F20DE,
N2ED7B358,CONTRASTS_WITH,N6CBA6B2D,
N2EE8ECA9,CONTAINS,N702FEA84,
N2EE8ECA9,CONTAINS,NF13C7861,
N2F62E17A,ENABLES,N43DC793B,
N2FC55D8E,EXEMPLIFIES,N3A8AE127,
N303AB17E,INSTANCE_OF,N077427B8,
N303AB17E,INSTANCE_OF,N0D061965,
N306DA974,CONTRASTS_WITH,N6D721C34,
N310E2CE2,REQUIRES,N09C19C3B,
N315C28EA,ENABLED_BY,N7A44461C,
N315C28EA,ENABLES,NFE828A98,
N315C28EA,INCLUDES,N07A2558D,
N315C28EA,INCLUDES,N7A117408,
N315C28EA,INCLUDES,N89D1BF79,
N315C28EA,INCLUDES,NE0C20963,
N3252860D,CONTRASTS_WITH,N421255B0,
N326BB366,INCLUDES,N81AB1ED1,
N326BB366,IS_A,N96D7B6F8,
N33FBCFA0,BUILDS_ON,N2ED7B358,
N33FBCFA0,BUILDS_ON,N6CBA6B2D,
N344B3AD5,ENABLES,NED2D9C7D,
N3567C0E5,APPLIES,N3A8AE127,
N3567C0E5,BUILDS_ON,N3A8AE127,
N35FE031C,SUPPORTS,N2371AF1E,
N36EB9DF1,DEPENDS_ON,N1C375295,
N36FD4023,BUILDS_ON,N1B988A94,
N36FD4023,CAN_BE_CREATED_IN,N1B988A94,
N36FD4023,ENABLED_BY,N1157357D,
N36FD4023,REQUIRES,N1157357D,
N36FD4023,REQUIRES,N13C2C887,
N36FD4023,REQUIRES,NBC324770,
N36FD4023,USES,N8F6B3002,
N37214463,BUILDS_ON,NBA4AEB5E,
N386C76B0,CONTRASTS_WITH,ND675716D,
N39BAB4D8,USED_FOR,ND9103C7D,
N39E5AD8C,USED_FOR,ND82BC9E1,
N3A103053,INFLUENCES,N558629E3,
N3A37589E,CONTRASTS_WITH,N842CC3A2,
N3A59AED5,GENERATES,NFAFB000A,
N3A59AED5,INTERACTS_WITH,N992523B4,
N3A8AE127,CONTRASTS_WITH,N64E3FEA7,
N3A8AE127,DEFINES,NF126316E,
N3B0B2530,SUPPORTS,N86F35F2F,
N3BBF82C5,FEATURES,N67107CD2,
N3BF0660E,INSTANCE_OF,N88946CC2,
N3CBC0687,ENABLED_BY,NC931A0A4,
N3CBC0687,ENABLES,N6BDC5159,
N3CBC0687,ENABLES,NF559DD9C,
N3CBC0687,HAS_COMPONENT,N052ED1A8,
N3D3B4A2E,INCLUDES,N4F8B203F,
N3D3B4A2E,INCLUDES,N59612B1B,
N3D3B4A2E,INCLUDES,N65B7BD61,
N3D3B4A2E,INCLUDES,N9602C417,
N3D3B4A2E,INCLUDES,NBF535888,
N3DB1006A,INFORMS,N310E2CE2,
N3E44961A,CONTRASTS_WITH,N631E6509,
N3EE79F5E,SUPPORTS,N4137B64F,
N3F770756,CONTRASTS_WITH,N606B72F7,
N3FF4C102,HAS_COMPONENT,N4E23E76C,
N40DFCF5C,CONTRASTS_WITH,N531190C4,
N410857EB,CONTAINS,N2AD5FC6E,
N410857EB,CONTAINS,N50AE2A63,
N410857EB,CONTAINS,N6EC702DC,
N410857EB,CONTAINS,NB729739D,
N410857EB,REQUIRES,N717CB032,
N4137B64F,BUILDS_ON,N4FC70518,
N4137B64F,DEPENDS_ON,N8DFD2AD3,
N4137B64F,USED_FOR,N545594AC,
N419551A0,CONTRASTS_WITH,N53AE88B1,
N41A6F95F,ENABLES,NBD9C7273,
N425E79F2,USED_FOR,N69DFAF3F,
N425E79F2,USED_FOR,N7D610432,
N425E79F2,USED_FOR,NAD693770,
N42AD9843,AFFECTS,N54EDC122,
N42AD9843,HAS_COMPONENT,N8A41972F,
N42AD9843,USES,N3E58AC5B,
N42AD9843,USES,N8A41972F,
N4315D5D0,CONTRASTS_WITH,NF6F3DA77,
N4315D5D0,ENCOURAGES,N004F7CB5,
N431A11A1,DEPENDS_ON,N4B6228C5,
N431A11A1,USES,N4EAA233E,
N4410D19F,ENABLES,NF6F3DA77,
N4438795B,SUPPORTS,N0423CDD8,
N44578D8E,BUILDS_ON,NC271B512,
N4492E96C,CONTRASTS_WITH,ND55F7BD5,
N44CA8FE8,HAS_COMPONENT,N92E25ABD,
N44D06FA6,HAS_COMPONENT,NF5FD00FD,
N44D06FA6,INFLUENCES,NB9B56408,
N44EBBF54,DEPENDS_ON,N60BDFD52,
N466DDC06,INFLUENCES,N2598FCA9,
N46A79A35,ENABLES,NDA8D4EB5,
N46AD623C,CONTRASTS_WITH,N46A79A35,
N47083F39,INSTANCE_OF,N7C15B1D0,
N47083F39,INSTANCE_OF,NA4EDFADC,
N479B1877,CONTAINS,N1877781E,
N47A2106C,CONTRASTS_WITH,NC7D435F3,
N47AE2F94,BUILDS_ON,N7C54E836,
N484B8219,MANAGES,NCB2C5821,
N48CFEF35,BUILDS_ON,N42A842EF,
N48CFEF35,HAS_COMPONENT,N084F77A1,
N48CFEF35,HAS_COMPONENT,NA549376E,
N48CFEF35,RELATES_TO,N42A842EF,
N49B2256E,UNDERMINES,NF3522A86,
N49D68BAF,ENABLED_BY,N95A8A92F,
N4A2061FE,CONTRASTS_WITH,N59BB80E6,
N4A99901B,ENCOURAGES,ND76607D5,
N4B0368B1,DEPENDS_ON,NAFEC108E,
N4B2AB10C,IMPROVES,N9DA2AF23,
N4B7CA615,CONTRASTS_WITH,NC24D971D,
N4B89B2FF,INFORMS,N310E2CE2,
N4C1D0B47,INSTANCE_OF,N8DC0FE4D,
N4C596BEC,CONTAINS,N2DDE991F,
N4C596BEC,CONTAINS,N5069A492,
N4C596BEC,CONTAINS,N8F3C1C21,
N4C596BEC,CONTAINS,NDF1A8C1D,
N4C7F0B9A,ENABLES,N2912C48A,
N4D5C3E7C,BUILDS_ON,N9018129A,
N4E1104B3,BUILDS_ON,N2ED7B358,
N4E23E76C,DEPENDS_ON,ND8BAE224,
N4E77FBF0,REMOVES,ND991A581,
N4ECF8A7A,BUILDS_ON,NAFEC108E,
N4EFC4085,INFORMS,N358B910F,
N4EFC4085,SUPPORTS,N7992C219,
N4F286BA3,ENABLES,NAFEC108E,
N4FC0DC40,FACILITATES,ND76607D5,
N4FC70518,ENABLES,N59A9A82B,
N50136D65,SUPPORTS,N49AC31B9,
N50E40E05,ENCOURAGES,NC7C1A6EB,
N5389FFE5,INFLUENCES,N675F5B43,
N53AE88B1,DEPENDS_ON,NC43CC7BE,
N53AFE7F0,INSTANCE_OF,N5D50D49D,
N5416357D,CONTAINS,N0FBF4B9A,
N541AFF8A,INCLUDES,N737AB625,
N541C8738,IS_A_CONCEPT_OF,N26E63DC3,
N541C8738,IS_A_FEATURE_OF,N26E63DC3,
N549D34CF,USES,ND8602A95,
N56374EC2,CONTRIBUTES_TO,NBBC80E10,
N56374EC2,USES,N93852EFE,
N5637AB6A,CONTRASTS_WITH,N36EB9DF1,
N5637AB6A,ENABLES,N2BB51F33,
N5637AB6A,ENABLES,NC271B512,
N570CAAB7,HAS_COMPONENT,N267FDBC3,
N5718F089,RELATES_TO,N042,
N5718F089,RELATES_TO,N24AC01CC,
N57A2B111,RELATES_TO,N1EC30915,
N57CB832E,REVOLUTIONIZES,N315C28EA,
N59134253,BUILDS_ON,N036,
N595D8E1D,IS_PART_OF,N3A8AE127,
N5A11C57B,BUILDS_ON,N1B78E1B5,
N5A11C57B,DEPENDS_ON,NCB689295,
N5AEA78EF,DEVELOPS,N3A8AE127,
N5D4314C3,GUIDES,NE8D77D25,
N5D4314C3,INFLUENCES,N2C0B1262,
N5D50D49D,HAS_COMPONENT,NA1CFFC1C,
N5D50D49D,HAS_COMPONENT,NDC67F6F2,
N5D990B49,INSTANCE_OF,N0A89733C,
N5EE54EE7,CONTRASTS_WITH,N13F354E3,
N5FB5E7BC,ENHANCES,N93852EFE,
N5FB5E7BC,IS_A_COMPONENT_OF,N3A8AE127,
N606B72F7,HELPS_MANAGE,N65964C22,
N606B72F7,REDUCES,N3F770756,
N60A49D64,USED_FOR,N315C28EA,
N60BDFD52,ENABLES,NC1EFAC6B,
N60D6A5E8,HAS_COMPONENT,ND5FA0425,
N60D6A5E8,HAS_COMPONENT,NDF87A776,
N60D6A5E8,HAS_COMPONENT,NE3B9E699,
N60D6A5E8,INCLUDES,N65C9B3DB,
N611CA643,ENABLES,N410857EB,
N631E6509,SUPPORTS,NB063CB1D,
N63FD724E,DESIGNS_FOR,N303AB17E,
N64795A3E,BUILDS_ON,N950B9FF8,
N64795A3E,BUILDS_ON,ND8ACC515,
N64795A3E,CONTRASTS_WITH,NADAE0438,
N64795A3E,ENABLED_BY,N052ED1A8,
N64795A3E,ENABLES,N052ED1A8,
N64795A3E,ENABLES,N8BD6B561,
N64795A3E,HAS_COMPONENT,NC33D1497,
N64795A3E,HAS_COMPONENT,ND8ACC515,
N64795A3E,INTEGRATES_WITH,N053,
N64795A3E,INTEGRATES_WITH,N89F93F46,
N64795A3E,USES,N21D5F11F,
N65426980,DEPENDS_ON,NC08316E1,
N658E7DC0,ENABLES,N79168975,
N65964C22,ENABLES,N65F0C5F4,
N65964C22,ENABLES,NBFFBCB44,
N65F0C5F4,ENHANCES,N9DA2AF23,
N67107CD2,USES,N8E427A4A,
N672BB1CB,DISCUSSES,NF10C195D,
N67556EDA,INCLUDES,N28479DA9,
N67556EDA,INCLUDES,N7CFC8B21,
N67556EDA,INCLUDES,N85FCC40C,
N67556EDA,REQUIRES,N28479DA9,
N67556EDA,REQUIRES,N7CFC8B21,
N67556EDA,REQUIRES,N85FCC40C,
N675F5B43,REQUIRES,N65F0C5F4,
N69032971,ENABLED_BY,N91784B77,
N69032971,HAS_COMPONENT,NEA641823,
N69032971,USES,NA27C2C60,
N6BB5E0D7,USED_FOR,N7307FEE2,
N6BB5E0D7,USED_FOR,N93E6185D,
N6BEE50B1,ENABLES,N23668EF1,
N6D1B1CF7,USED_FOR,NE13B0E04,
N6D723103,ENCOURAGES,NAB11A614,
N6D723103,OPPOSES,N7BF2A925,
N6D723103,OPPOSES,NAB11A614,
N6D723103,REQUIRES,NAB11A614,
N6D8976DC,DEPENDS_ON,N65C9B3DB,
N6D8976DC,USED_FOR,N39BAB4D8,
N6DDCAF16,ENABLED_BY,N4410D19F,
N6F46D2E4,CONTAINS,N8B408FBC,
N6FA8B8B3,ENABLES,N4137B64F,
N6FA8B8B3,HAS_COMPONENT,N676F1474,
N70924234,ENABLES,N077427B8,
N70E2A395,ENABLES,N7591933F,
N70EFC4A2,EXAMPLE_OF,NA4CCFE0F,
N71B50349,USED_FOR,N036,
N71E9C600,ENABLES,N021,
N71E9C600,INSTANCE_OF,N35843AF2,
N7223C2D6,CONTRIBUTES_TO,NF1EDC912,
N72FD6572,ENABLES,N97D861B3,
N72FD6572,REGULATES,N59BB80E6,
N734E18D0,BUILDS_ON,N9233DF89,
N737AB625,BUILDS_ON,N9427B7C0,
N7380AC93,ENABLES,N6D8976DC,
N764DC6BD,IS_COMPOSED_OF,NC2483587,
N769D618C,HAS_COMPONENT,N2B6BDC18,
N76D97464,BUILDS_ON,N051,
N77798872,BUILDS_ON,NAC55E125,
N78B5C76F,ENABLES,N3A37589E,
N78D4FE49,ENABLES,NBDA0BA39,
N78E5CE79,EXAMPLE_OF,N005,
N79168975,CONTRASTS_WITH,N392B5A56,
N79168975,CONTRASTS_WITH,NB6D138CD,
N79168975,DERIVES_FROM,NA39783E7,
N7A117408,RELATES_TO,N055,
N7A117408,USES,N055,
N7A44461C,REQUIRES,N7A117408,
N7B201D0A,EXEMPLIFIES,N851D75EC,
N7B201D0A,HAS_COMPONENT,N67029C7E,
N7B201D0A,REQUIRES,N98365844,
N7CFC8B21,INFORMS,N310E2CE2,
N7CFC8B21,USED_FOR,N310E2CE2,
N7DB9E0C2,DEPENDS_ON,N7E99DBAA,
N7E99DBAA,DEPENDS_ON,N8D3BCE4B,
N7E99DBAA,DEPENDS_ON,NC5F2027C,
N7E99DBAA,ENABLES,N13838824,
N7E99DBAA,ENABLES,N29E83350,
N7E99DBAA,ENABLES,N9B2406A4,
N7E99DBAA,HAS_COMPONENT,N13838824,
N7E99DBAA,HAS_COMPONENT,N14ABBC0B,
N7E99DBAA,HAS_COMPONENT,N2F3F6549,
N7E99DBAA,HAS_COMPONENT,N4438795B,
N7E99DBAA,HAS_COMPONENT,NA75AF352,
N7E99DBAA,HAS_COMPONENT,NF5D7F057,
N7E99DBAA,INTEGRATES_WITH,N9B2406A4,
N7FECC031,SUPPORTS,NFEF185F5,
N80B89C77,CONTRASTS_WITH,NC90E00C4,
N81345802,INFORMS,N310E2CE2,
N81345802,WORKS_WITH,N3DB1006A,
N8178740A,CONTRASTS_WITH,N7A888FD9,
N8205DC8C,USED_FOR,N8178740A,
N82581032,CONTRASTS_WITH,NE000FE25,
N82D73873,ARISES_FROM,N6DDCAF16,
N8342A342,LEADS_TO,NA92888C4,
N842CC3A2,BUILDS_ON,N4E23E76C,
N85C36E08,CONTRASTS_WITH,N0CAC97F7,
N85FCC40C,INFORMS,N310E2CE2,
N85FCC40C,USED_FOR,N310E2CE2,
N863428C3,CONTRASTS_WITH,N717CB032,
N87607370,HAS_COMPONENT,N2864D005,
N87EC1F9E,BUILDS_ON,N2F20D9D2,
N87EC1F9E,INSTANCE_OF,N44A101B7,
N8A41972F,IMPACTS,N42AD9843,
N8B408FBC,IMPACT_ON,N49AC31B9,
N8B970ED5,CONTRASTS_WITH,N98A46063,
N8B970ED5,RELATES_TO,N057,
N8BD95415,DEPENDS_ON,NE64ED4BA,
N8D3BCE4B,HAS_COMPONENT,N47083F39,
N8D3BCE4B,HAS_COMPONENT,NAAC27522,
N8D3BCE4B,HAS_COMPONENT,NE5AEBA34,
N8D973B49,INFORMS,N1E14FA46,
N8DC0FE4D,ENABLES,NC1EFAC6B,
N8ED54065,INCLUDES,N14E82E00,
N8ED54065,USES,N0FECC01B,
N9018129A,CONTAINS,N1DADB2A7,
N9018129A,HAS_COMPONENT,NC3CB6FA5,
N90AF86FE,BUILDS_ON,N02B3F05E,
N9192BA44,CONTRASTS_WITH,NDCCF845F,
N91A34921,ENABLES,NF52F4008,
N9233DF89,ENABLES,NDCCF845F,
N92B165ED,CHALLENGES,N6D723103,
N92E25ABD,ENABLED_BY,N2E147E6E,
N93E6185D,REQUIRES,N083,
N9427B7C0,HAS_COMPONENT,NDA25596E,
N9427B7C0,HAS_COMPONENT,NEE42BA1B,
N9427B7C0,INCLUDES,NEE42BA1B,
N953174F5,USED_FOR,N9BA7F69C,
N9699C7CD,IMPLEMENTS,N94FC4795,
N96C5E786,ENABLES,NF6F3DA77,
N96D7B6F8,IS_A,NBFE5C514,
N96D7B6F8,USES,NF7860C1F,
N96F35D96,SUPPORTS,NBD9C7273,
N984047C4,USED_FOR,N222BE3E1,
N992523B4,PROVIDES,NDE2D1767,
N9A08C727,CONTAINS,N7211AB17,
N9A45C66E,COMBINES_WITH,N4F067F22,
N9A45C66E,COMBINES_WITH,NBE6E7793,
N9A9796A0,INFLUENCES,NF6F3DA77,
N9BA7F69C,CONTRASTS_WITH,NE000FE25,
N9BA7F69C,ENABLES,N43FED206,
N9BA7F69C,USED_FOR,N80F91943,
N9BA7F69C,USED_FOR,NE000FE25,
N9DA2AF23,SUPPORTS,N59A9A82B,
N9DE1F10D,HAS_COMPONENT,NC237D6CF,
N9E2C0A7E,LEADS_TO,N2C068B89,
N9EFE0C4F,IS_A,ND15FD4AD,
N9FBC81D9,ENHANCES,NE9747440,
N9FF391C3,ENABLES,N88946CC2,
NA0614987,ENABLES,N4ECF8A7A,
NA0A44B66,ENABLES,N4137B64F,
NA1E48922,BUILDS_ON,NDA8D4EB5,
NA1E48922,ENABLES,NDFAC6515,
NA20BC744,USED_FOR,N23FC9094,
NA2AFE836,FOUNDED,NDD2DC24B,
NA2E992E1,ENABLES,N021,
NA2E992E1,HAS_COMPONENT,N021,
